1;46.6719;14.3737;4;3;1
2;51.1267;15.3667;4.38024;5;2
3;64.819;16.5522;8.31278;2;3
4;60.1963;16.0998;21.1682;1;1
5;70.8504;15.0036;39.2982;3;2
6;85.0255;12.435;42.3985;4;3
7;88.6041;12.4009;38.4357;4;4
8;80.5878;8.19085;34.4412;4;5
9;74.1421;7.59354;30.6471;0;3
10;63.4013;9.5757;32.4426;0;1
11;53.1182;9.3533;47.0906;1;-1
12;31.8679;9.27914;56.127;4;0
13;40.8642;13.4321;52.1328;6;1
14;53.9253;15.1062;46.6449;8;2
15;57.1986;16.3837;52.3049;8;3
16;67.6041;14.935;61.774;5;4
17;79.1015;16.6921;67.8943;1;5
18;84.5901;13.2789;67.3785;0;3
19;82.8902;10.748;67.4255;0;1
20;71.8247;8.07507;67.5209;1;-1
21;64.7836;7.14526;69.9989;4;0
22;51.4119;8.51919;75.9436;6;1
23;55.2779;8.51103;77.0272;7;2
24;38.7581;11.016;81.867;7;3
25;44.2062;13.7783;75.0678;8;4
26;47.3668;14.7013;68.7179;5;5
27;54.0396;16.6389;67.7521;0;6
28;67.3371;17.5834;80.8288;0;4
29;81.5611;14.952;91.0964;0;2
30;79.0643;11.8118;91.2862;0;0
31;85.2097;12.9173;91.7894;2;1
32;78.0136;7.95323;89.8238;3;2
33;63.6061;7.71625;87.3645;2;3
34;62.5905;8.3449;97.1969;1;1
35;46.6891;8.10286;109.78;3;2
36;45.7598;11.8402;109.182;2;3
37;32.8011;14.0721;109.694;0;1
38;50.5743;14.6761;109.706;1;-1
39;55.3671;15.6455;116.895;4;0
40;57.5715;17.7193;128.6;6;1
41;75.5183;13.741;139.019;8;2
42;76.9432;13.8772;132.817;8;3
43;84.5134;11.2268;125.95;8;4
44;82.5351;10.8081;117.996;4;5
45;57.2296;10.1102;114.108;0;3
46;50.9647;8.21504;130.03;0;1
47;44.945;8.54572;136.356;1;-1
48;47.8568;9.35753;136.896;4;0
49;36.4106;11.1245;136.586;6;1
50;52.3457;14.6593;130.657;7;2
51;57.7376;16.645;134.741;6;3
52;69.5115;17.0222;146.459;5;4
53;83.2193;14.6662;148.846;5;5
54;74.2164;11.8204;143.936;0;6
55;87.3135;9.09955;146.464;0;4
56;65.4739;9.95467;146.473;0;2
57;55.4712;9.14392;159.057;0;0
58;45.1849;8.57095;171.926;2;1
59;48.11;7.40829;171.585;4;2
60;44.8441;12.2221;170.735;5;3
61;43.0311;14.9972;167.684;5;4
62;42.6453;15.6935;163.796;5;5
63;53.0553;15.9627;159.752;0;6
64;61.6224;17.3041;171.633;0;4
65;67.2019;16.7037;189.099;0;2
66;83.8824;14.9163;200.166;0;0
67;72.1284;10.8358;200.232;2;1
68;81.0655;10.3064;202.388;3;2
69;67.294;7.99735;199.594;2;3
70;46.1884;7.69177;205.788;1;1
71;54.841;8.82318;206.782;3;2
72;31.8997;12.5191;215.506;3;3
